Số báo danh,Mã tỉnh,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,Tin học,CN Công nghiệp,CN Nông nghiệp,GD Kinh tế và Pháp luật,Tổng điểm
2048147,HỒ CHÍ MINH,7.75,7.25,,,8.75,7.25,,,,,,,23.75
2048150,HỒ CHÍ MINH,8.5,8.25,,,9.25,9.75,,,,,,,27.5
2048151,HỒ CHÍ MINH,7.25,6.5,,,7.75,8.0,,,,,,,23.0
2048154,HỒ CHÍ MINH,7.5,6.5,,,6.75,7.25,,,,,,,21.5
2048167,HỒ CHÍ MINH,8.0,7.5,,,9.25,7.25,,,,,,,24.5
2048169,HỒ CHÍ MINH,9.0,7.5,,,8.0,8.25,,,,,,,25.25
2048186,HỒ CHÍ MINH,6.25,5.75,,,7.5,6.35,,,,,,,20.1
2048188,HỒ CHÍ MINH,9.0,7.0,,,9.25,7.5,,,,,,,25.75
2048192,HỒ CHÍ MINH,8.5,7.25,,,8.75,8.0,,,,,,,25.25
2048196,HỒ CHÍ MINH,7.25,6.5,,,9.5,9.5,,,,,,,26.25
2048198,HỒ CHÍ MINH,8.5,8.0,,,9.0,8.75,,,,,,,26.25
2048213,HỒ CHÍ MINH,7.0,6.75,,,8.5,8.5,,,,,,,24.0
2048216,HỒ CHÍ MINH,3.45,7.25,,,5.75,5.75,,,,,,,14.95
2048217,HỒ CHÍ MINH,9.0,7.25,,,9.25,8.5,,,,,,,26.75
2048222,HỒ CHÍ MINH,8.5,7.25,,,8.75,9.5,,,,,,,26.75
2048224,HỒ CHÍ MINH,9.0,8.0,,,8.5,9.0,,,,,,,26.5
2048228,HỒ CHÍ MINH,8.0,6.25,,,9.75,8.0,,,,,,,25.75
2048231,HỒ CHÍ MINH,9.5,8.0,,,10.0,8.25,,,,,,,27.75
2048234,HỒ CHÍ MINH,8.0,6.75,,,9.5,9.75,,,,,,,27.25
2048236,HỒ CHÍ MINH,7.5,6.75,,,9.25,8.5,,,,,,,25.25
2048241,HỒ CHÍ MINH,8.0,6.75,,,6.75,8.0,,,,,,,22.75
2048244,HỒ CHÍ MINH,3.5,6.5,,,3.6,4.2,,,,,,,11.3
2048246,HỒ CHÍ MINH,8.5,7.25,,,8.75,9.25,,,,,,,26.5
2048250,HỒ CHÍ MINH,10.0,8.25,,,10.0,10.0,,,,,,,30.0
2048256,HỒ CHÍ MINH,8.25,7.25,,,9.0,8.0,,,,,,,25.25
2048266,HỒ CHÍ MINH,5.75,7.75,,,4.75,3.6,,,,,,,14.1
2048267,HỒ CHÍ MINH,7.5,7.75,,,9.5,9.25,,,,,,,26.25
2048269,HỒ CHÍ MINH,7.5,7.0,,,8.75,7.25,,,,,,,23.5
2048270,HỒ CHÍ MINH,8.5,6.75,,,9.75,9.25,,,,,,,27.5
2048273,HỒ CHÍ MINH,7.25,7.25,,,8.5,5.85,,,,,,,21.6
2048276,HỒ CHÍ MINH,9.5,7.0,,,9.0,9.75,,,,,,,28.25
2048278,HỒ CHÍ MINH,4.0,6.5,,,5.25,6.75,,,,,,,16.0
2048279,HỒ CHÍ MINH,5.5,8.75,,,3.75,5.0,,,,,,,14.25
2048281,HỒ CHÍ MINH,9.0,8.25,,,9.5,9.5,,,,,,,28.0
2048285,HỒ CHÍ MINH,9.5,7.25,,,7.75,9.0,,,,,,,26.25
2048290,HỒ CHÍ MINH,8.1,8.0,,,9.0,8.25,,,,,,,25.35
2048293,HỒ CHÍ MINH,8.5,7.75,,,9.5,8.5,,,,,,,26.5
2048295,HỒ CHÍ MINH,7.5,7.25,,,9.75,9.0,,,,,,,26.25
2048300,HỒ CHÍ MINH,9.0,8.25,,,9.25,8.5,,,,,,,26.75
2048302,HỒ CHÍ MINH,8.0,7.0,,,8.0,8.0,,,,,,,24.0
2048319,HỒ CHÍ MINH,4.25,8.0,,,5.25,4.35,,,,,,,13.85
2048320,HỒ CHÍ MINH,8.75,6.75,,,7.75,6.5,,,,,,,23.0
2048321,HỒ CHÍ MINH,6.5,7.75,,,9.25,8.5,,,,,,,24.25
2048322,HỒ CHÍ MINH,8.0,8.25,,,9.0,6.75,,,,,,,23.75
2048363,HỒ CHÍ MINH,7.5,5.5,,,8.5,7.75,,,,,,,23.75
2048370,HỒ CHÍ MINH,7.1,7.75,,,9.5,8.0,,,,,,,24.6
2048372,HỒ CHÍ MINH,9.5,8.25,,,9.25,9.5,,,,,,,28.25
2048376,HỒ CHÍ MINH,8.5,8.0,,,8.25,8.0,,,,,,,24.75
2048377,HỒ CHÍ MINH,5.25,8.5,,,5.0,7.25,,,,,,,17.5
2048379,HỒ CHÍ MINH,6.75,7.75,,,9.0,8.25,,,,,,,24.0
2048382,HỒ CHÍ MINH,7.0,7.25,,,7.75,6.75,,,,,,,21.5
2048387,HỒ CHÍ MINH,7.75,8.5,,,9.0,8.75,,,,,,,25.5
2048389,HỒ CHÍ MINH,8.5,8.5,,,9.5,9.75,,,,,,,27.75
2048395,HỒ CHÍ MINH,5.75,8.0,,,7.5,7.5,,,,,,,20.75
2048396,HỒ CHÍ MINH,8.25,7.5,,,9.0,8.5,,,,,,,25.75
2048397,HỒ CHÍ MINH,9.0,7.5,,,9.25,8.75,,,,,,,27.0
2048400,HỒ CHÍ MINH,9.0,7.5,,,8.75,8.5,,,,,,,26.25
2048407,HỒ CHÍ MINH,4.5,8.0,,,3.5,4.55,,,,,,,12.55
2048410,HỒ CHÍ MINH,9.0,7.25,,,8.25,8.5,,,,,,,25.75
2048412,HỒ CHÍ MINH,8.5,8.0,,,8.25,8.5,,,,,,,25.25
2048413,HỒ CHÍ MINH,7.5,8.25,,,8.5,8.0,,,,,,,24.0
2048417,HỒ CHÍ MINH,9.0,6.75,,,8.75,9.5,,,,,,,27.25
2048418,HỒ CHÍ MINH,4.0,7.75,,,3.35,3.75,,,,,,,11.1
2048419,HỒ CHÍ MINH,6.75,7.25,,,5.25,6.1,,,,,,,18.1
2048420,HỒ CHÍ MINH,9.0,7.25,,,9.5,9.5,,,,,,,28.0
2048421,HỒ CHÍ MINH,7.5,7.5,,,5.75,6.0,,,,,,,19.25
2048422,HỒ CHÍ MINH,8.0,7.25,,,8.75,8.25,,,,,,,25.0
2048423,HỒ CHÍ MINH,9.0,7.5,,,7.75,9.0,,,,,,,25.75
2048425,HỒ CHÍ MINH,8.5,7.75,,,9.0,9.25,,,,,,,26.75
2048426,HỒ CHÍ MINH,4.6,7.5,,,4.6,5.35,,,,,,,14.549999999999999
2048427,HỒ CHÍ MINH,9.5,8.5,,,9.5,8.0,,,,,,,27.0
2048429,HỒ CHÍ MINH,5.1,7.0,,,4.1,5.75,,,,,,,14.95
2048430,HỒ CHÍ MINH,8.5,6.75,,,9.25,7.5,,,,,,,25.25
2048431,HỒ CHÍ MINH,9.5,7.5,,,9.75,8.5,,,,,,,27.75
2048432,HỒ CHÍ MINH,8.25,7.5,,,7.75,7.25,,,,,,,23.25
2048437,HỒ CHÍ MINH,7.25,6.75,,,8.5,8.1,,,,,,,23.85
2048442,HỒ CHÍ MINH,7.5,6.75,,,7.75,6.75,,,,,,,22.0
2048443,HỒ CHÍ MINH,9.0,8.5,,,9.0,9.0,,,,,,,27.0
2048445,HỒ CHÍ MINH,7.25,7.75,,,9.25,7.75,,,,,,,24.25
2048447,HỒ CHÍ MINH,5.75,8.25,,,5.35,7.0,,,,,,,18.1
2048449,HỒ CHÍ MINH,6.25,8.25,,,8.5,7.5,,,,,,,22.25
2048451,HỒ CHÍ MINH,7.0,6.75,,,6.25,6.35,,,,,,,19.6
2048456,HỒ CHÍ MINH,8.0,7.0,,,9.0,7.6,,,,,,,24.6
2048457,HỒ CHÍ MINH,8.75,6.5,,,10.0,8.1,,,,,,,26.85
2048459,HỒ CHÍ MINH,7.75,8.0,,,9.0,7.6,,,,,,,24.35
2048462,HỒ CHÍ MINH,9.0,7.0,,,9.75,8.75,,,,,,,27.5
2048466,HỒ CHÍ MINH,7.6,7.5,,,8.0,7.5,,,,,,,23.1
2048471,HỒ CHÍ MINH,8.5,7.0,,,9.5,8.75,,,,,,,26.75
2048480,HỒ CHÍ MINH,8.5,7.75,,,9.5,9.5,,,,,,,27.5
2048485,HỒ CHÍ MINH,4.1,7.5,,,4.2,5.85,,,,,,,14.15
2048490,HỒ CHÍ MINH,6.25,8.0,,,7.5,7.25,,,,,,,21.0
2048491,HỒ CHÍ MINH,7.0,8.0,,,8.5,7.75,,,,,,,23.25
2048492,HỒ CHÍ MINH,6.5,8.25,,,5.5,5.1,,,,,,,17.1
2048521,HỒ CHÍ MINH,7.1,7.5,,,8.5,8.75,,,,,,,24.35
2048530,HỒ CHÍ MINH,9.0,7.25,,,9.5,8.5,,,,,,,27.0
2048535,HỒ CHÍ MINH,7.5,6.75,,,8.5,8.25,,,,,,,24.25
2048537,HỒ CHÍ MINH,9.0,7.25,,,8.5,8.0,,,,,,,25.5
2048558,HỒ CHÍ MINH,4.85,8.5,,,7.0,6.1,,,,,,,17.95
2048567,HỒ CHÍ MINH,6.25,8.5,,,7.5,7.25,,,,,,,21.0
2048574,HỒ CHÍ MINH,8.0,8.0,,,9.0,8.0,,,,,,,25.0
2048575,HỒ CHÍ MINH,8.5,6.75,,,8.25,8.75,,,,,,,25.5
2048577,HỒ CHÍ MINH,9.0,6.0,,,9.75,9.25,,,,,,,28.0
2048585,HỒ CHÍ MINH,6.5,5.5,,,8.25,6.35,,,,,,,21.1
2048600,HỒ CHÍ MINH,3.35,6.0,,,7.0,4.85,,,,,,,15.2
2048613,HỒ CHÍ MINH,7.25,7.25,,,9.0,7.0,,,,,,,23.25
2048619,HỒ CHÍ MINH,6.75,6.5,,,7.25,8.0,,,,,,,22.0
2048628,HỒ CHÍ MINH,5.0,7.75,,,5.75,6.75,,,,,,,17.5
2048629,HỒ CHÍ MINH,6.5,6.75,,,9.25,7.75,,,,,,,23.5
2048630,HỒ CHÍ MINH,7.75,7.5,,,7.0,8.1,,,,,,,22.85
2048633,HỒ CHÍ MINH,6.25,7.5,,,9.0,7.75,,,,,,,23.0
2048635,HỒ CHÍ MINH,7.0,6.5,,,8.25,9.0,,,,,,,24.25
2048645,HỒ CHÍ MINH,7.5,6.25,,,7.0,8.35,,,,,,,22.85
2048647,HỒ CHÍ MINH,9.0,7.5,,,9.75,9.75,,,,,,,28.5
2048662,HỒ CHÍ MINH,8.0,6.25,,,9.0,9.0,,,,,,,26.0
2048664,HỒ CHÍ MINH,7.25,6.0,,,8.25,7.75,,,,,,,23.25
2048665,HỒ CHÍ MINH,7.25,6.75,,,8.25,6.6,,,,,,,22.1
2048685,HỒ CHÍ MINH,9.0,7.0,,,9.25,9.5,,,,,,,27.75
2048699,HỒ CHÍ MINH,9.0,8.25,,,10.0,8.6,,,,,,,27.6
2048901,HỒ CHÍ MINH,8.0,8.0,,,7.5,8.25,,,,,,,23.75
2048902,HỒ CHÍ MINH,9.0,7.75,,,8.75,9.75,,,,,,,27.5
2048910,HỒ CHÍ MINH,8.75,8.0,,,9.25,8.25,,,,,,,26.25
2048915,HỒ CHÍ MINH,4.35,7.0,,,4.0,7.35,,,,,,,15.7
2048918,HỒ CHÍ MINH,8.5,7.0,,,9.0,8.25,,,,,,,25.75
2048919,HỒ CHÍ MINH,8.0,5.75,,,8.5,8.75,,,,,,,25.25
2048926,HỒ CHÍ MINH,5.1,7.5,,,9.0,5.6,,,,,,,19.7
2048927,HỒ CHÍ MINH,9.0,8.25,,,10.0,9.0,,,,,,,28.0
2048949,HỒ CHÍ MINH,7.25,8.0,,,6.75,6.75,,,,,,,20.75
2048953,HỒ CHÍ MINH,7.75,7.75,,,6.1,7.35,,,,,,,21.2
2048954,HỒ CHÍ MINH,8.75,8.5,,,9.75,9.25,,,,,,,27.75
2048956,HỒ CHÍ MINH,9.0,7.75,,,9.75,8.5,,,,,,,27.25
2049411,HỒ CHÍ MINH,5.25,7.5,,,4.75,5.6,,,,,,,15.6
2049609,HỒ CHÍ MINH,5.6,8.25,,,7.0,6.0,,,,,,,18.6
2049653,HỒ CHÍ MINH,2.6,8.0,,,3.1,3.2,,,,,,,8.9
2049677,HỒ CHÍ MINH,3.5,7.5,,,4.25,6.25,,,,,,,14.0
2051107,HỒ CHÍ MINH,6.0,7.0,,,4.25,4.6,,,,,,,14.85
2051109,HỒ CHÍ MINH,5.5,7.75,,,6.0,5.0,,,,,,,16.5
2051110,HỒ CHÍ MINH,7.25,7.25,,,5.1,5.75,,,,,,,18.1
2051111,HỒ CHÍ MINH,5.35,7.0,,,4.75,5.1,,,,,,,15.2
2051112,HỒ CHÍ MINH,6.75,8.75,,,7.0,5.75,,,,,,,19.5
2051113,HỒ CHÍ MINH,6.75,7.75,,,6.25,6.1,,,,,,,19.1
2051114,HỒ CHÍ MINH,5.25,7.5,,,5.85,5.75,,,,,,,16.85
2051115,HỒ CHÍ MINH,6.75,8.0,,,8.75,7.1,,,,,,,22.6
2051116,HỒ CHÍ MINH,5.85,8.5,,,4.95,4.0,,,,,,,14.8
2051120,HỒ CHÍ MINH,7.0,8.5,,,6.5,8.0,,,,,,,21.5
2051121,HỒ CHÍ MINH,6.75,7.5,,,3.6,6.75,,,,,,,17.1
2051122,HỒ CHÍ MINH,5.75,7.75,,,5.0,4.85,,,,,,,15.6
2051124,HỒ CHÍ MINH,7.75,6.0,,,6.0,5.75,,,,,,,19.5
2051125,HỒ CHÍ MINH,6.25,6.75,,,8.5,7.75,,,,,,,22.5
2051126,HỒ CHÍ MINH,6.0,7.75,,,8.5,7.75,,,,,,,22.25
2051129,HỒ CHÍ MINH,6.5,7.0,,,7.5,7.75,,,,,,,21.75
2051130,HỒ CHÍ MINH,4.0,6.5,,,4.75,5.35,,,,,,,14.1
2051133,HỒ CHÍ MINH,5.0,7.25,,,4.6,4.75,,,,,,,14.35
2051136,HỒ CHÍ MINH,6.75,8.75,,,3.95,6.0,,,,,,,16.7
2051137,HỒ CHÍ MINH,5.5,5.75,,,6.0,6.75,,,,,,,18.25
2051138,HỒ CHÍ MINH,7.5,7.25,,,7.25,6.75,,,,,,,21.5
2051140,HỒ CHÍ MINH,9.0,6.0,,,8.0,8.0,,,,,,,25.0
2051141,HỒ CHÍ MINH,5.0,7.75,,,6.0,6.25,,,,,,,17.25
2051142,HỒ CHÍ MINH,5.1,7.0,,,7.0,6.75,,,,,,,18.85
2051143,HỒ CHÍ MINH,5.25,6.75,,,4.75,6.5,,,,,,,16.5
2051145,HỒ CHÍ MINH,6.6,6.75,,,6.75,8.35,,,,,,,21.7
2051147,HỒ CHÍ MINH,6.25,7.25,,,6.75,8.0,,,,,,,21.0
2051148,HỒ CHÍ MINH,5.0,7.0,,,5.0,4.75,,,,,,,14.75
2051150,HỒ CHÍ MINH,7.5,7.25,,,7.25,8.0,,,,,,,22.75
2051153,HỒ CHÍ MINH,6.0,8.0,,,8.25,6.5,,,,,,,20.75
2051155,HỒ CHÍ MINH,4.25,6.5,,,3.95,3.1,,,,,,,11.299999999999999
2051157,HỒ CHÍ MINH,5.5,7.0,,,3.95,4.25,,,,,,,13.7
2051161,HỒ CHÍ MINH,4.75,7.5,,,6.45,4.0,,,,,,,15.2
2051166,HỒ CHÍ MINH,6.25,8.0,,,5.75,7.0,,,,,,,19.0
2051169,HỒ CHÍ MINH,4.25,7.5,,,6.0,5.75,,,,,,,16.0
2051170,HỒ CHÍ MINH,7.5,7.5,,,8.0,7.35,,,,,,,22.85
2051171,HỒ CHÍ MINH,7.25,7.0,,,6.5,7.75,,,,,,,21.5
2051172,HỒ CHÍ MINH,4.75,6.75,,,5.25,4.95,,,,,,,14.95
2051173,HỒ CHÍ MINH,6.5,7.75,,,8.0,8.25,,,,,,,22.75
2051174,HỒ CHÍ MINH,8.5,7.75,,,9.5,8.75,,,,,,,26.75
2051175,HỒ CHÍ MINH,8.0,7.25,,,6.25,8.5,,,,,,,22.75
2051176,HỒ CHÍ MINH,5.1,6.0,,,4.0,3.25,,,,,,,12.35
2051177,HỒ CHÍ MINH,3.95,6.5,,,3.1,6.25,,,,,,,13.3
2051178,HỒ CHÍ MINH,5.75,6.75,,,5.75,6.75,,,,,,,18.25
2051181,HỒ CHÍ MINH,5.75,7.5,,,6.1,6.0,,,,,,,17.85
2051182,HỒ CHÍ MINH,6.25,8.0,,,8.25,7.25,,,,,,,21.75
2051184,HỒ CHÍ MINH,6.5,7.25,,,6.1,4.5,,,,,,,17.1
2051185,HỒ CHÍ MINH,5.5,7.5,,,6.25,4.2,,,,,,,15.95
2051187,HỒ CHÍ MINH,5.0,8.0,,,4.85,5.35,,,,,,,15.2
2051188,HỒ CHÍ MINH,7.5,8.0,,,7.75,8.0,,,,,,,23.25
2051191,HỒ CHÍ MINH,7.5,8.5,,,8.25,8.0,,,,,,,23.75
2051192,HỒ CHÍ MINH,8.5,8.25,,,8.0,8.25,,,,,,,24.75
2051193,HỒ CHÍ MINH,6.25,7.75,,,6.25,5.25,,,,,,,17.75
2051194,HỒ CHÍ MINH,7.0,6.75,,,6.5,8.5,,,,,,,22.0
2051195,HỒ CHÍ MINH,6.0,7.0,,,5.75,5.6,,,,,,,17.35
2051196,HỒ CHÍ MINH,8.0,7.75,,,7.5,7.75,,,,,,,23.25
2051197,HỒ CHÍ MINH,5.75,3.75,,,4.5,6.25,,,,,,,16.5
2051198,HỒ CHÍ MINH,7.0,7.75,,,7.6,8.0,,,,,,,22.6
2051201,HỒ CHÍ MINH,7.5,7.25,,,7.75,7.1,,,,,,,22.35
2051202,HỒ CHÍ MINH,4.75,7.5,,,5.0,5.75,,,,,,,15.5
2051203,HỒ CHÍ MINH,4.75,7.0,,,5.75,6.5,,,,,,,17.0
2051204,HỒ CHÍ MINH,5.6,6.75,,,6.85,7.25,,,,,,,19.7
2051209,HỒ CHÍ MINH,7.5,7.75,,,8.25,8.75,,,,,,,24.5
2051211,HỒ CHÍ MINH,5.85,8.25,,,6.0,5.6,,,,,,,17.45
2051223,HỒ CHÍ MINH,5.25,6.75,,,5.25,4.85,,,,,,,15.35
2051224,HỒ CHÍ MINH,6.0,7.0,,,5.25,4.1,,,,,,,15.35
2051225,HỒ CHÍ MINH,4.5,4.5,,,5.5,5.75,,,,,,,15.75
2051226,HỒ CHÍ MINH,5.5,7.0,,,4.75,6.35,,,,,,,16.6
2051229,HỒ CHÍ MINH,4.5,6.5,,,3.1,3.25,,,,,,,10.85
2051231,HỒ CHÍ MINH,4.5,8.5,,,4.75,4.35,,,,,,,13.6
2051232,HỒ CHÍ MINH,6.6,7.75,,,8.5,8.25,,,,,,,23.35
2051236,HỒ CHÍ MINH,6.0,8.25,,,5.75,6.25,,,,,,,18.0
2051237,HỒ CHÍ MINH,7.25,7.0,,,6.25,7.25,,,,,,,20.75
2051239,HỒ CHÍ MINH,5.1,6.25,,,3.2,4.0,,,,,,,12.3
2051241,HỒ CHÍ MINH,6.6,7.75,,,8.1,5.5,,,,,,,20.2
2051242,HỒ CHÍ MINH,6.25,7.0,,,5.25,7.25,,,,,,,18.75
2051244,HỒ CHÍ MINH,6.5,7.5,,,3.75,5.2,,,,,,,15.45
2051249,HỒ CHÍ MINH,6.0,6.75,,,7.25,5.35,,,,,,,18.6
2051250,HỒ CHÍ MINH,6.5,7.5,,,6.5,7.75,,,,,,,20.75
2051251,HỒ CHÍ MINH,7.25,7.5,,,5.25,7.25,,,,,,,19.75
2051252,HỒ CHÍ MINH,5.6,8.0,,,6.1,3.85,,,,,,,15.549999999999999
2051253,HỒ CHÍ MINH,6.5,6.75,,,6.25,5.35,,,,,,,18.1
2051255,HỒ CHÍ MINH,4.85,7.25,,,5.5,6.5,,,,,,,16.85
2051256,HỒ CHÍ MINH,6.0,7.75,,,6.75,5.25,,,,,,,18.0
2051257,HỒ CHÍ MINH,5.5,6.75,,,4.75,7.25,,,,,,,17.5
2051261,HỒ CHÍ MINH,7.5,7.0,,,4.25,5.85,,,,,,,17.6
2051262,HỒ CHÍ MINH,6.25,8.0,,,3.75,5.05,,,,,,,15.05
2051264,HỒ CHÍ MINH,6.0,7.75,,,8.5,6.5,,,,,,,21.0
2051265,HỒ CHÍ MINH,5.5,6.5,,,5.5,5.5,,,,,,,16.5
2051268,HỒ CHÍ MINH,6.25,6.75,,,7.5,6.35,,,,,,,20.1
2051271,HỒ CHÍ MINH,4.75,7.75,,,6.5,6.6,,,,,,,17.85
2051272,HỒ CHÍ MINH,8.0,7.75,,,9.0,8.75,,,,,,,25.75
2051275,HỒ CHÍ MINH,8.0,5.0,,,9.0,8.25,,,,,,,25.25
2051279,HỒ CHÍ MINH,7.5,8.5,,,8.0,9.25,,,,,,,24.75
2051282,HỒ CHÍ MINH,7.0,6.75,,,5.6,6.0,,,,,,,18.6
2051283,HỒ CHÍ MINH,5.5,6.5,,,5.25,7.25,,,,,,,18.0
2051296,HỒ CHÍ MINH,5.5,6.75,,,5.25,6.6,,,,,,,17.35
2051299,HỒ CHÍ MINH,7.5,6.75,,,7.5,8.5,,,,,,,23.5
2051300,HỒ CHÍ MINH,6.25,8.5,,,6.0,7.6,,,,,,,19.85
2051303,HỒ CHÍ MINH,3.7,5.75,,,3.7,4.1,,,,,,,11.5
2051310,HỒ CHÍ MINH,8.0,6.75,,,9.0,7.5,,,,,,,24.5
2051311,HỒ CHÍ MINH,6.75,6.75,,,7.75,7.1,,,,,,,21.6
2051313,HỒ CHÍ MINH,5.35,7.5,,,4.85,7.0,,,,,,,17.2
2051314,HỒ CHÍ MINH,6.0,6.5,,,7.25,6.5,,,,,,,19.75
2051318,HỒ CHÍ MINH,6.25,4.25,,,7.25,8.5,,,,,,,22.0
2051321,HỒ CHÍ MINH,7.5,6.5,,,7.75,7.0,,,,,,,22.25
2051324,HỒ CHÍ MINH,6.0,4.75,,,8.5,7.75,,,,,,,22.25
2051327,HỒ CHÍ MINH,3.25,8.25,,,3.2,7.5,,,,,,,13.95
2051328,HỒ CHÍ MINH,5.25,6.75,,,6.0,4.85,,,,,,,16.1
2051330,HỒ CHÍ MINH,7.5,5.0,,,6.75,7.35,,,,,,,21.6
2051335,HỒ CHÍ MINH,6.0,7.25,,,5.75,4.35,,,,,,,16.1
2051337,HỒ CHÍ MINH,5.0,7.0,,,5.0,6.5,,,,,,,16.5
2051338,HỒ CHÍ MINH,7.0,7.75,,,6.75,7.25,,,,,,,21.0
2051340,HỒ CHÍ MINH,6.5,6.75,,,8.75,7.25,,,,,,,22.5
2051345,HỒ CHÍ MINH,6.25,8.0,,,5.25,5.5,,,,,,,17.0
2051349,HỒ CHÍ MINH,7.5,6.5,,,9.0,7.25,,,,,,,23.75
2051352,HỒ CHÍ MINH,4.5,5.5,,,4.25,5.5,,,,,,,14.25
2051353,HỒ CHÍ MINH,6.25,8.5,,,7.75,7.75,,,,,,,21.75
2051358,HỒ CHÍ MINH,6.25,5.25,,,5.35,5.85,,,,,,,17.45
2051359,HỒ CHÍ MINH,7.5,5.75,,,6.75,6.75,,,,,,,21.0
2051360,HỒ CHÍ MINH,5.5,7.5,,,5.75,5.1,,,,,,,16.35
2051362,HỒ CHÍ MINH,5.75,5.5,,,8.0,8.0,,,,,,,21.75
2051365,HỒ CHÍ MINH,5.75,6.0,,,5.5,7.0,,,,,,,18.25
2051366,HỒ CHÍ MINH,5.5,7.5,,,7.0,6.35,,,,,,,18.85
2051367,HỒ CHÍ MINH,5.75,7.0,,,6.5,4.85,,,,,,,17.1
2051369,HỒ CHÍ MINH,6.5,7.75,,,7.0,6.35,,,,,,,19.85
2051370,HỒ CHÍ MINH,5.75,6.5,,,5.35,5.85,,,,,,,16.95
2051374,HỒ CHÍ MINH,6.25,7.25,,,4.1,5.0,,,,,,,15.35
2051376,HỒ CHÍ MINH,5.1,8.75,,,4.75,6.5,,,,,,,16.35
2051377,HỒ CHÍ MINH,5.0,6.75,,,4.05,3.6,,,,,,,12.65
2051380,HỒ CHÍ MINH,6.75,6.75,,,6.0,6.5,,,,,,,19.25
2051381,HỒ CHÍ MINH,6.25,7.25,,,8.5,8.25,,,,,,,23.0
2051382,HỒ CHÍ MINH,5.5,7.75,,,3.85,5.35,,,,,,,14.7
2051388,HỒ CHÍ MINH,4.5,6.5,,,5.2,5.1,,,,,,,14.799999999999999
2051391,HỒ CHÍ MINH,6.5,8.0,,,7.25,6.75,,,,,,,20.5
2051395,HỒ CHÍ MINH,4.35,7.75,,,5.75,4.45,,,,,,,14.55
2051396,HỒ CHÍ MINH,5.75,5.5,,,5.5,6.25,,,,,,,17.5
2051401,HỒ CHÍ MINH,5.6,6.5,,,3.95,2.45,,,,,,,12.0
2051403,HỒ CHÍ MINH,6.0,7.5,,,5.5,6.25,,,,,,,17.75
2051404,HỒ CHÍ MINH,6.75,5.25,,,8.0,6.5,,,,,,,21.25
2051406,HỒ CHÍ MINH,7.0,5.75,,,6.1,6.25,,,,,,,19.35
2051412,HỒ CHÍ MINH,6.6,6.75,,,7.5,8.5,,,,,,,22.6
2051415,HỒ CHÍ MINH,7.5,7.5,,,6.25,7.0,,,,,,,20.75
2051419,HỒ CHÍ MINH,4.85,6.25,,,7.5,7.75,,,,,,,20.1
2051421,HỒ CHÍ MINH,6.5,6.75,,,6.25,6.25,,,,,,,19.0
2051423,HỒ CHÍ MINH,8.5,8.25,,,9.5,9.75,,,,,,,27.75
2051425,HỒ CHÍ MINH,4.75,7.75,,,2.7,6.0,,,,,,,13.45
2051427,HỒ CHÍ MINH,6.0,8.0,,,6.25,6.35,,,,,,,18.6
2051429,HỒ CHÍ MINH,6.25,8.25,,,7.5,8.25,,,,,,,22.0
2051430,HỒ CHÍ MINH,4.0,8.0,,,4.0,4.25,,,,,,,12.25
2051431,HỒ CHÍ MINH,4.6,7.5,,,5.75,6.25,,,,,,,16.6
2051433,HỒ CHÍ MINH,5.75,6.75,,,6.5,5.85,,,,,,,18.1
2051434,HỒ CHÍ MINH,6.75,7.0,,,8.75,7.75,,,,,,,23.25
2051435,HỒ CHÍ MINH,6.75,7.75,,,7.5,8.0,,,,,,,22.25
2051438,HỒ CHÍ MINH,6.0,6.5,,,7.5,6.5,,,,,,,20.0
2051439,HỒ CHÍ MINH,8.0,8.5,,,8.25,8.5,,,,,,,24.75
2051446,HỒ CHÍ MINH,9.0,5.75,,,9.25,8.5,,,,,,,26.75
2051460,HỒ CHÍ MINH,6.25,7.0,,,7.0,6.85,,,,,,,20.1
2051475,HỒ CHÍ MINH,6.0,6.25,,,5.25,5.75,,,,,,,17.0
2051476,HỒ CHÍ MINH,7.5,7.25,,,8.5,6.5,,,,,,,22.5
2051483,HỒ CHÍ MINH,5.0,7.0,,,4.75,4.85,,,,,,,14.6
2051484,HỒ CHÍ MINH,8.0,7.25,,,9.25,8.75,,,,,,,26.0
2051487,HỒ CHÍ MINH,6.1,7.0,,,5.55,6.1,,,,,,,17.75
2051489,HỒ CHÍ MINH,4.0,5.25,,,4.75,4.7,,,,,,,13.45
2051491,HỒ CHÍ MINH,5.75,6.5,,,7.5,4.85,,,,,,,18.1
2051498,HỒ CHÍ MINH,5.0,6.25,,,6.0,5.25,,,,,,,16.25
2051499,HỒ CHÍ MINH,5.1,6.0,,,5.5,5.75,,,,,,,16.35
2051500,HỒ CHÍ MINH,6.1,6.0,,,7.5,6.1,,,,,,,19.7
2051502,HỒ CHÍ MINH,6.5,6.25,,,6.35,6.6,,,,,,,19.45
2051509,HỒ CHÍ MINH,3.0,6.25,,,3.2,3.2,,,,,,,9.4
2051533,HỒ CHÍ MINH,6.5,7.0,,,6.5,7.25,,,,,,,20.25
2051534,HỒ CHÍ MINH,5.0,7.5,,,6.25,6.5,,,,,,,17.75
2051541,HỒ CHÍ MINH,6.1,6.5,,,6.75,7.25,,,,,,,20.1
2051542,HỒ CHÍ MINH,5.25,7.75,,,6.75,7.25,,,,,,,19.25
